Index No,Organization,Year,Performance Rating
FXFZSZ,UNICEF,2018,Solid Achievement
FXFZDF,UNICEF,2016,Solid Achievement
FXFPZR,UNDP,2017,Successful PLUS performance
FXFPZR,UNDP,2018,Successful PLUS performance
FXFPXP,UNICEF,2017,Solid Achievement
FXFAFF,UNICEF,2016,Solid Achievement
FXFAFX,UNICEF,2017,Solid Achievement
FXFAKK,UNICEF,2016,Solid Achievement
FXFFRS,UNDP,2017,Successful performance
FXFFRS,UNDP,2018,Successful PLUS performance
FXFFAS,UNICEF,2017,Solid Achievement
FXFFAS,UNICEF,2018,Solid Achievement
FXFFFZ,UNICEF,2017,Outstanding Achievement
FXFKRP,UNICEF,2017,Solid Achievement
FXFOSD,UNICEF,2017,Solid Achievement
FXFODF,UNICEF,2018,Solid Achievement
FXFXPR,UNICEF,2016,Solid Achievement
FXKZZP,UNICEF,2017,Solid Achievement
FXKZZP,UNICEF,2018,Solid Achievement
FXKZKF,UNICEF,2016,Solid Achievement
FXKDZR,UNICEF,2017,Solid Achievement
FXKDFZ,UNICEF,2018,Outstanding Achievement
FXKRKP,UNICEF,2017,Solid Achievement
FXKRKP,UNICEF,2018,Solid Achievement
FXKASX,UNICEF,2018,Outstanding Achievement
FXKAFF,UNICEF,2017,Solid Achievement
FXKAFF,UNICEF,2018,Solid Achievement
FXKOZS,UNICEF,2017,Solid Achievement
FXKXRD,UNICEF,2017,Solid Achievement
FXKXRD,UNICEF,2018,Solid Achievement
FXKXAR,UNICEF,2016,Outstanding Achievement
FXKXX,UNDP,2017,Successful performance
FXKXX,UNDP,2018,
FXOZSO,UNICEF,2018,Solid Achievement
FXOPKR,UNICEF,2018,Solid Achievement
FXOPKK,UNICEF,2017,Low Achievement
FXOPKK,UNICEF,2018,Solid Achievement
FXOPXP,UNICEF,2018,Solid Achievement
FXODKR,UNICEF,2017,Solid Achievement
FXODOF,UNICEF,2016,Solid Achievement
FXOROD,UNICEF,2017,Solid Achievement
FXOFDX,UNICEF,2016,Solid Achievement
FXOFA,UNICEF,2016,Outstanding Achievement
FXOKZD,UNICEF,2016,Solid Achievement
FXOKFR,UNDP,2017,Successful performance
FXOKFR,UNDP,2018,Successful PLUS performance
FXOKXO,UNICEF,2017,Solid Achievement
FXOKXO,UNICEF,2018,Solid Achievement
FXOXXR,UNICEF,2016,Solid Achievement
FXXZSD,UNDP,2018,Successful performance
FXXSOX,UNICEF,2017,Outstanding Achievement
FXXPFX,UNICEF,2018,Outstanding Achievement
FXXDPD,UNICEF,2018,Solid Achievement
FXXDDX,UNICEF,2016,Solid Achievement
FXXAA,UNDP,2018,Successful performance
FXXFDF,UNICEF,2017,Solid Achievement
FXXFO,UNICEF,2017,Outstanding Achievement
FXXFO,UNICEF,2018,Outstanding Achievement
FXXFXA,UNICEF,2018,Solid Achievement
FXXKXP,UNICEF,2017,Solid Achievement
FXXKXP,UNICEF,2018,Solid Achievement
FXXODF,UNICEF,2016,Solid Achievement
FXXOOD,UNICEF,2017,Solid Achievement
KZZZPS,UNICEF,2017,Solid Achievement
KZZZPS,UNICEF,2018,Solid Achievement
KZZZPR,UNICEF,2017,Solid Achievement
KZZZPR,UNICEF,2018,Solid Achievement
KZZZFO,UNICEF,2018,Solid Achievement
KZZSZ,UNDP,2017,Successful performance
KZZSZ,UNDP,2018,Successful performance
KZZPSP,UNICEF,2018,Solid Achievement
KZZDRO,UNICEF,2017,Solid Achievement
KZZDRO,UNICEF,2018,Solid Achievement
KZZDAR,UNICEF,2018,Solid Achievement
KZZRZP,UNICEF,2017,Solid Achievement
KZZRZP,UNICEF,2018,Solid Achievement
KZZROS,UNDP,2018,Successful performance
KZZASS,UNDP,2017,Successful performance
KZZASS,UNDP,2018,Successful performance
KZZFOK,UNICEF,2016,Outstanding Achievement
KZZXPD,UNICEF,2018,Solid Achievement
KZSZZO,UNICEF,2017,Outstanding Achievement
KZSZZO,UNICEF,2018,Solid Achievement
KZSZOF,UNICEF,2017,Solid Achievement
XZDSSF,UNICEF,2016,Solid Achievement
XZDSD,UNDP,2017,Successful performance
XZDSD,UNDP,2018,Successful PLUS performance
XZDSAR,UNICEF,2017,Outstanding Achievement
XZDSAR,UNICEF,2018,Solid Achievement
XZDSKK,UNICEF,2016,Solid Achievement
XZDSXS,UNICEF,2017,Solid Achievement
XZDSXS,UNICEF,2018,Solid Achievement
XZDPD,UNICEF,2017,Solid Achievement
XZDPFK,UNICEF,2017,Solid Achievement
XZDPFK,UNICEF,2018,Solid Achievement
XZDADZ,UNICEF,2017,Solid Achievement
XZDADZ,UNICEF,2018,Solid Achievement
XZDAFZ,UNICEF,2018,Solid Achievement
XZDKDP,UNICEF,2017,Low Achievement
XZDKKS,UNICEF,2016,Solid Achievement
XZDOZF,UNICEF,2016,Solid Achievement
XZDORD,UNDP,2017,Successful PLUS performance
XZDXZD,UNICEF,2017,Outstanding Achievement
XZDXZD,UNICEF,2018,Solid Achievement
XZDXRS,UNICEF,2017,Solid Achievement
XZRZPP,UNICEF,2017,Solid Achievement
XZRZPP,UNICEF,2018,Solid Achievement
XZRZOR,UNICEF,2016,Solid Achievement
XZRZOR,UNICEF,2017,Low Achievement
XZRPAR,UNICEF,2016,Outstanding Achievement
XZRPAR,UNICEF,2018,Solid Achievement
XZRA,UNICEF,2017,Solid Achievement
XZRA,UNICEF,2018,Solid Achievement
XZRAXF,UNICEF,2017,Outstanding Achievement
XZRAXF,UNICEF,2018,Solid Achievement
XZRKPZ,UNICEF,2016,Solid Achievement
XZRKOX,UNDP,2017,Successful PLUS performance
XZRKOX,UNDP,2018,Successful PLUS performance
XZASXD,UNICEF,2016,Solid Achievement
XZAROA,UNDP,2017,Successful performance
XZAROA,UNDP,2018,Successful performance
XZAAAS,UNICEF,2016,Solid Achievement
XZAAOO,UNICEF,2018,Solid Achievement
XZAAXP,UNICEF,2016,Outstanding Achievement
XZAKRA,UNDP,2017,
XZAXKO,UNDP,2017,Partially successful performance
XZFZSD,UNICEF,2016,Solid Achievement
XZFSPD,UNICEF,2016,Outstanding Achievement
XZFPD,UNDP,2017,Successful performance
XZFPD,UNDP,2018,Successful performance
XZFPKK,UNICEF,2016,Solid Achievement
XZFDFA,UNICEF,2018,Outstanding Achievement
XZFDKR,UNICEF,2016,Solid Achievement
XZFRSR,UNICEF,2016,Outstanding Achievement
XZFRKS,UNICEF,2017,Solid Achievement
XZFRKA,UNICEF,2017,Solid Achievement
XZFRKA,UNICEF,2018,Solid Achievement
XZFAAD,UNICEF,2016,Solid Achievement
XZFAAX,UNICEF,2016,Outstanding Achievement
XZFAXA,UNICEF,2017,Solid Achievement
XZFAXA,UNICEF,2018,Solid Achievement
XZFFP,UNDP,2017,Successful PLUS performance
XZFFP,UNDP,2018,Successful PLUS performance
XZFODP,UNICEF,2016,Solid Achievement
XZKSFF,UNICEF,2016,Solid Achievement
XZKPSA,UNICEF,2016,Solid Achievement
XZKRSO,UNICEF,2016,Low Achievement
XZKRKD,UNDP,2017,Successful performance
XZKRKD,UNDP,2018,Successful PLUS performance
XZKFDR,UNICEF,2017,Outstanding Achievement
XZKFDR,UNICEF,2018,Solid Achievement
XZKKPK,UNICEF,2016,Solid Achievement
XZKKDR,UNICEF,2017,Solid Achievement
XZKKDR,UNICEF,2018,Solid Achievement
XZOZSA,UNDP,2018,Successful PLUS performance
XZOZPP,UNICEF,2018,Solid Achievement
XZOSAA,UNICEF,2017,Solid Achievement
XZOPP,UNICEF,2016,Outstanding Achievement
XZODZF,UNICEF,2016,Outstanding Achievement
XZOAOZ,UNICEF,2017,Solid Achievement
XZOAOZ,UNICEF,2018,Solid Achievement
XZOFOA,UNICEF,2018,Solid Achievement
XZOOXP,UNICEF,2017,Solid Achievement
XZOXDO,UNDP,2017,Successful performance
XZOXDO,UNDP,2018,Successful performance
XZXZZS,UNICEF,2017,Solid Achievement
XZXPAA,UNICEF,2017,Solid Achievement
XZXPAA,UNICEF,2018,Solid Achievement
XZXRPZ,UNICEF,2017,Solid Achievement
XZXRPZ,UNICEF,2018,Solid Achievement
XZXRPF,UNICEF,2017,Outstanding Achievement
XZXRPF,UNICEF,2018,Solid Achievement
XZXFSK,UNICEF,2016,Solid Achievement
XZXKSA,UNICEF,2016,Solid Achievement
XZXXFZ,UNICEF,2018,Solid Achievement
XSFXDO,UNICEF,2017,Outstanding Achievement
XSKRPK,UNICEF,2017,Solid Achievement
XSKRPK,UNICEF,2018,Solid Achievement
XSKROK,UNDP,2017,Successful PLUS performance
XSKROK,UNDP,2018,Successful performance
XSKARA,UNICEF,2017,Outstanding Achievement
XSKOOD,UNICEF,2016,Outstanding Achievement
XSKOOD,UNICEF,2017,Solid Achievement
XSKXZP,UNICEF,2016,Solid Achievement
XSOZDO,UNICEF,2017,Solid Achievement
XSOZDO,UNICEF,2018,Solid Achievement
XSOSKZ,UNICEF,2016,Solid Achievement
XSOSXS,UNICEF,2016,Solid Achievement
XSOPZK,UNICEF,2017,Solid Achievement
XSORPX,UNICEF,2017,Solid Achievement
XSORKZ,UNICEF,2016,Outstanding Achievement
XSOKPP,UNDP,2017,Successful PLUS performance
XSOKPP,UNDP,2018,Successful PLUS performance
XSOOSF,UNICEF,2017,Outstanding Achievement
XSOOSF,UNICEF,2018,Solid Achievement
XSOORZ,UNICEF,2017,Solid Achievement
XSOOKF,UNDP,2017,Successful PLUS performance
XSOOKF,UNDP,2018,Successful performance
XSOXDK,UNICEF,2016,Outstanding Achievement
XSXZR,UNICEF,2016,Solid Achievement
XSXSR,UNDP,2018,
XSXRX,UNICEF,2017,Outstanding Achievement
XSXRX,UNICEF,2018,Solid Achievement
XSXKRF,UNICEF,2017,Solid Achievement
XSXKRF,UNICEF,2018,Solid Achievement
XSXXRZ,UNICEF,2017,Outstanding Achievement
XPZDSF,UNDP,2017,Successful performance
XPZDSO,UNDP,2018,Successful performance
XPZAOP,UNDP,2017,Successful performance
XPZAOP,UNDP,2018,Successful performance
XPZOSR,UNICEF,2017,Solid Achievement
XPZOSR,UNICEF,2018,Solid Achievement
XPZXKK,UNICEF,2017,Solid Achievement
XPSZOO,UNICEF,2017,Solid Achievement
XPSZOO,UNICEF,2018,Solid Achievement
XPSPPP,UNDP,2017,Partially successful performance
XPSPX,UNICEF,2017,Solid Achievement
XPSDFS,UNDP,2017,Successful performance
XPSDFS,UNDP,2018,Successful performance
XPSRDK,UNDP,2017,Successful performance
XPSRDK,UNDP,2018,Successful performance
XPSRDO,UNICEF,2017,Solid Achievement
XPSRDO,UNICEF,2018,Solid Achievement
XPSAPA,UNDP,2018,Successful performance
XPSFFA,UNICEF,2018,Solid Achievement
XPSODO,UNICEF,2016,Solid Achievement
XPSOFX,UNICEF,2016,Solid Achievement
XPSXZF,UNICEF,2017,Solid Achievement
XPPPXX,UNICEF,2016,Solid Achievement
XPPRZR,UNDP,2017,Successful performance
XPPRFS,UNICEF,2018,Solid Achievement
XPPFRA,UNICEF,2017,Solid Achievement
XPPFRA,UNICEF,2018,Solid Achievement
XPPOSS,UNDP,2017,Successful PLUS performance
XPPOSS,UNDP,2018,Successful PLUS performance
XPPODO,UNICEF,2016,Outstanding Achievement
XPDZZS,UNICEF,2017,Solid Achievement
XPDZZS,UNICEF,2018,Solid Achievement
XPDSRR,UNICEF,2016,Solid Achievement
XPDPOD,UNICEF,2017,Solid Achievement
XPDPOD,UNICEF,2018,Solid Achievement
XPDDSX,UNICEF,2017,Solid Achievement
XPDDSX,UNICEF,2018,Solid Achievement
XPDDPF,UNDP,2017,Successful PLUS performance
XPDRRX,UNICEF,2017,Solid Achievement
XPDFPS,UNICEF,2016,Outstanding Achievement
XPDFPS,UNICEF,2018,Solid Achievement
XPDKAR,UNICEF,2017,Solid Achievement
XPDKAR,UNICEF,2018,Solid Achievement
XPDKKP,UNICEF,2016,Solid Achievement
XPDOZX,UNICEF,2017,Solid Achievement
XPDOZX,UNICEF,2018,Solid Achievement
XPDORX,UNICEF,2016,Solid Achievement
XPDXSO,UNICEF,2016,Outstanding Achievement
XPRZXS,UNICEF,2018,Outstanding Achievement
XPRPKF,UNICEF,2016,Solid Achievement
XPRPKF,UNICEF,2018,Outstanding Achievement
XPRROR,UNICEF,2016,Solid Achievement
XPRODR,UNDP,2017,Successful PLUS performance
XPAZSF,UNDP,2018,
XPASSA,UNICEF,2017,Solid Achievement
XPAPAF,UNICEF,2016,Solid Achievement
XPADOR,UNICEF,2016,Solid Achievement
XPARPO,UNDP,2017,Successful performance
XPARPO,UNDP,2018,Successful performance
XPAFRA,UNICEF,2017,Solid Achievement
XDDXRK,UNICEF,2018,Solid Achievement
XDRRFP,UNICEF,2018,Solid Achievement
XDRKAO,UNICEF,2016,Outstanding Achievement
XDRKOZ,UNICEF,2017,Solid Achievement
XDRKOZ,UNICEF,2018,Solid Achievement
XDRXOP,UNICEF,2017,Solid Achievement
XDRXOP,UNICEF,2018,Solid Achievement
XDAPRP,UNICEF,2016,Outstanding Achievement
XDARSF,UNDP,2018,Successful performance
XDAFAS,UNICEF,2018,Solid Achievement
XDAFAK,UNDP,2017,Successful performance
XDAFAK,UNDP,2018,Successful performance
XDAOFD,UNICEF,2016,Outstanding Achievement
XDAOKD,UNICEF,2017,Solid Achievement
XDAOXX,UNICEF,2016,Solid Achievement
XDFZP,UNDP,2017,Successful performance
XDFZP,UNDP,2018,Successful performance
XDFZRZ,UNICEF,2016,Solid Achievement
XDFDOR,UNICEF,2017,Outstanding Achievement
XDFDOR,UNICEF,2018,Solid Achievement
XDFRPF,UNICEF,2018,Solid Achievement
XDFAXR,UNICEF,2017,Solid Achievement
XDFAXR,UNICEF,2018,Solid Achievement
XDFFFD,UNICEF,2017,Solid Achievement
XDFFFD,UNICEF,2018,Solid Achievement
XDFKPD,UNICEF,2017,Solid Achievement
XDFKPD,UNICEF,2018,Solid Achievement
XDFXZP,UNICEF,2017,Solid Achievement
XDFXZA,UNDP,2017,Successful performance
XDFXZA,UNDP,2018,Successful performance
XDKSKP,UNICEF,2016,Solid Achievement
XDKSKR,UNICEF,2017,Outstanding Achievement
XDKSKR,UNICEF,2018,Solid Achievement
XDKRRF,UNICEF,2016,Solid Achievement
XDKASF,UNDP,2017,Successful performance
XDKFPK,UNICEF,2018,Outstanding Achievement
XDKOAX,UNDP,2017,Successful PLUS performance
XDKOAX,UNDP,2018,Successful performance
XDOZXO,UNDP,2017,Successful PLUS performance
XDOZXO,UNDP,2018,Successful PLUS performance
XDOSDK,UNICEF,2016,Solid Achievement
XDOSOD,UNDP,2018,Successful performance
XDOPPZ,UNICEF,2017,Outstanding Achievement
XDOPPZ,UNICEF,2018,Outstanding Achievement
XDODZR,UNDP,2018,Successful performance
XDOFFA,UNICEF,2016,Solid Achievement
XDOFKD,UNDP,2017,Successful performance
XDOFKD,UNDP,2018,Successful performance
XDXPRX,UNICEF,2017,Solid Achievement
XDXARF,UNICEF,2016,Outstanding Achievement
XDXOPR,UNDP,2017,Successful PLUS performance
XDXOPR,UNDP,2018,Successful performance
XDXOKD,UNDP,2017,Successful PLUS performance
XDXOKD,UNDP,2018,Successful PLUS performance
XRZZD,UNICEF,2017,Outstanding Achievement
XRZZD,UNICEF,2018,Solid Achievement
XRZZFS,UNICEF,2017,Solid Achievement
XRZZFS,UNICEF,2018,Solid Achievement
XRZAZF,UNDP,2017,Successful performance
XRZAZF,UNDP,2018,Successful performance
XRZFRS,UNICEF,2017,Solid Achievement
XRZFRS,UNICEF,2018,Outstanding Achievement
XRZXKS,UNICEF,2018,Solid Achievement
XRSZZZ,UNDP,2018,Successful PLUS performance
XRSPSP,UNICEF,2016,Solid Achievement
XRSRZR,UNDP,2017,Successful PLUS performance
XRSRKA,UNDP,2018,Successful performance
XRSRXF,UNICEF,2016,Outstanding Achievement
XRSAAR,UNDP,2017,Successful performance
XRSAAR,UNDP,2018,Successful PLUS performance
XRSAKX,UNDP,2017,Successful performance
XRSAKX,UNDP,2018,Successful performance
XRSFOA,UNDP,2018,Successful performance
XRSKRO,UNICEF,2017,Solid Achievement
XRSKRO,UNICEF,2018,Solid Achievement
XRSKAS,UNICEF,2017,Solid Achievement
XRSKAS,UNICEF,2018,Solid Achievement
XRSOXK,UNICEF,2017,Solid Achievement
XRSXPS,UNICEF,2017,Solid Achievement
XRSXPS,UNICEF,2018,Solid Achievement
XRPSX,UNDP,2017,Successful PLUS performance
XRPSX,UNDP,2018,Successful PLUS performance
XRPPXF,UNICEF,2016,Solid Achievement
XRPR,UNICEF,2017,Outstanding Achievement
XRPRDF,UNDP,2017,Successful performance
XRPKSO,UNDP,2017,Successful performance
XRPKSO,UNDP,2018,Successful performance
XRPKKZ,UNICEF,2016,Solid Achievement
XRPKKR,UNICEF,2016,Outstanding Achievement
XSSFPO,UNICEF,2017,Solid Achievement
XSSFPO,UNICEF,2018,Solid Achievement
XSSFRS,UNICEF,2016,Outstanding Achievement
XSSKXR,UNICEF,2016,Solid Achievement
XSSOZD,UNICEF,2017,Solid Achievement
XSSOSZ,UNICEF,2017,Solid Achievement
XSSOSZ,UNICEF,2018,Solid Achievement
XSSODA,UNICEF,2017,Solid Achievement
XSSODA,UNICEF,2018,Solid Achievement
XSSXAF,UNICEF,2016,Solid Achievement
XSPFSZ,UNICEF,2016,Solid Achievement
XSPFPP,UNICEF,2016,Solid Achievement
XSPKDP,UNDP,2017,Successful performance
XSPOPF,UNDP,2017,Successful performance
XSPOPF,UNDP,2018,Successful PLUS performance
XSPORZ,UNICEF,2016,Solid Achievement
XSDZAS,UNDP,2018,Successful performance
XSDSPO,UNICEF,2016,Outstanding Achievement
XSDSAO,UNICEF,2016,Solid Achievement
XSDSOX,UNDP,2017,Successful performance
XSDDOD,UNICEF,2016,Outstanding Achievement
XSDRAP,UNICEF,2016,Outstanding Achievement
XSDRAP,UNICEF,2017,Solid Achievement
XSDARD,UNDP,2017,Successful performance
XSDARD,UNDP,2018,Successful performance
XSDKFD,UNICEF,2016,Solid Achievement
XSDOAR,UNICEF,2017,Outstanding Achievement
XSDOAR,UNICEF,2018,Outstanding Achievement
XSRPZS,UNICEF,2017,Solid Achievement
XSRPZS,UNICEF,2018,Solid Achievement
XSRDSO,UNICEF,2017,Solid Achievement
XSRDSO,UNICEF,2018,Solid Achievement
XSRDPX,UNDP,2018,Successful performance
XSRRZX,UNICEF,2017,Solid Achievement
XSRRZX,UNICEF,2018,Solid Achievement
XSRRFK,UNICEF,2017,Solid Achievement
XSRRFK,UNICEF,2018,Solid Achievement
XSRRXK,UNDP,2018,Successful performance
XSRKFR,UNICEF,2017,Outstanding Achievement
XSRKFR,UNICEF,2018,Outstanding Achievement
XSROPX,UNICEF,2017,Solid Achievement
XSRXSK,UNICEF,2017,Solid Achievement
XSRXRR,UNICEF,2016,Solid Achievement
XSRXXP,UNICEF,2017,Solid Achievement
XSRXXP,UNICEF,2018,Solid Achievement
XSASOD,UNICEF,2016,Solid Achievement
XSAPAF,UNICEF,2016,Outstanding Achievement
XSADDZ,UNICEF,2016,Solid Achievement
XSARZR,UNICEF,2018,Outstanding Achievement
XSARPP,UNICEF,2017,Solid Achievement
XSARD,UNICEF,2017,Solid Achievement
XSARFD,UNICEF,2017,Solid Achievement
XSAKS,UNICEF,2017,Solid Achievement
XSAKS,UNICEF,2018,Solid Achievement
XSAXXA,UNICEF,2016,Solid Achievement
XSFZDR,UNICEF,2017,Solid Achievement
XSFZDR,UNICEF,2018,Solid Achievement
XSFZOZ,UNICEF,2018,Low Achievement
XSFPRP,UNICEF,2018,Solid Achievement
XSFPAP,UNICEF,2017,Solid Achievement
XSFPAP,UNICEF,2018,Solid Achievement
XSFRKD,UNICEF,2018,Outstanding Achievement
XSFAKX,UNICEF,2017,Solid Achievement
XSFAKX,UNICEF,2018,Solid Achievement
XSFAXX,UNICEF,2017,Solid Achievement
XSFAXX,UNICEF,2018,Solid Achievement
XSFKZZ,UNICEF,2018,Outstanding Achievement
XSFKPO,UNICEF,2018,Solid Achievement
XSFOZA,UNICEF,2017,Solid Achievement
XSFOZA,UNICEF,2018,Solid Achievement
XSFOZX,UNDP,2017,Successful performance
XSFOZX,UNDP,2018,Successful PLUS performance
XSFOOA,UNICEF,2016,Solid Achievement
XSFXDO,UNICEF,2016,Solid Achievement
XSKDZF,UNDP,2017,Successful performance
XSKRPK,UNICEF,2016,Solid Achievement
XSKRXP,UNICEF,2017,Solid Achievement
XSKRXP,UNICEF,2018,Solid Achievement
XSKFPR,UNICEF,2017,Outstanding Achievement
XSKFKF,UNICEF,2017,Solid Achievement
XSKFKF,UNICEF,2018,Solid Achievement
XSKKSX,UNICEF,2016,Outstanding Achievement
XSOZDO,UNICEF,2016,Solid Achievement
XSOSRZ,UNICEF,2017,Solid Achievement
XSOSKZ,UNICEF,2017,Solid Achievement
XSOSKZ,UNICEF,2018,Solid Achievement
XSOSXS,UNICEF,2017,Solid Achievement
XSOSXS,UNICEF,2018,Solid Achievement
XSOPAA,UNDP,2017,Successful performance
XSORKZ,UNICEF,2017,Outstanding Achievement
XSOKZP,UNICEF,2017,Solid Achievement
XSOKZP,UNICEF,2018,Solid Achievement
KZSSXF,UNICEF,2017,Solid Achievement
KZSSXF,UNICEF,2018,Solid Achievement
KZSPSZ,UNICEF,2017,Solid Achievement
KZSPSZ,UNICEF,2018,Solid Achievement
KZSPAA,UNICEF,2016,Solid Achievement
KZSDRF,UNICEF,2016,Low Achievement
KZSRRD,UNICEF,2016,Solid Achievement
KZSADK,UNICEF,2018,Solid Achievement
KZSAAF,UNICEF,2017,Solid Achievement
KZSAAF,UNICEF,2018,Solid Achievement
KZSAOK,UNICEF,2016,Solid Achievement
KZSFDS,UNICEF,2018,Outstanding Achievement
KZSKPZ,UNICEF,2018,Solid Achievement
KZSKPA,UNICEF,2017,Solid Achievement
KZSKPA,UNICEF,2018,Solid Achievement
KZSOK,UNICEF,2017,Outstanding Achievement
KZPZSS,UNICEF,2018,Solid Achievement
KZPSZF,UNICEF,2017,Solid Achievement
KZPDKK,UNICEF,2016,Solid Achievement
KZPRDZ,UNICEF,2018,Solid Achievement
KZPROD,UNICEF,2018,Solid Achievement
KZPRXD,UNDP,2017,Successful performance
KZPRXD,UNDP,2018,Successful performance
KZPAPO,UNICEF,2018,Outstanding Achievement
KZPARP,UNDP,2017,Successful PLUS performance
KZPAKK,UNICEF,2016,Outstanding Achievement
KZPFAR,UNICEF,2018,Outstanding Achievement
KZPKZS,UNICEF,2016,Solid Achievement
KZPKSF,UNDP,2017,Successful performance
KZPKSF,UNDP,2018,Successful performance
KZPKPZ,UNICEF,2018,Solid Achievement
KZPOFR,UNICEF,2016,Outstanding Achievement
KZDZDF,UNICEF,2016,Solid Achievement
KZDPOF,UNICEF,2018,Outstanding Achievement
KZDDO,UNICEF,2016,Solid Achievement
KZDAKZ,UNICEF,2017,Solid Achievement
KZDAXD,UNDP,2017,Successful performance
KZDAXD,UNDP,2018,Successful performance
KZDKPF,UNICEF,2016,Solid Achievement
KZDKDZ,UNICEF,2017,Solid Achievement
KZDOPK,UNICEF,2017,Outstanding Achievement
KZDOPK,UNICEF,2018,Outstanding Achievement
KZDXZZ,UNICEF,2017,Solid Achievement
KZDXRK,UNICEF,2017,Solid Achievement
KZDXRK,UNICEF,2018,Solid Achievement
KZDXRO,UNICEF,2017,Solid Achievement
KZDXRO,UNICEF,2018,Solid Achievement
KZDXOZ,UNICEF,2017,Solid Achievement
KZDXOZ,UNICEF,2018,Solid Achievement
KZRZRS,UNICEF,2016,Solid Achievement
KZRSSF,UNICEF,2016,Low Achievement
KZRSSF,UNICEF,2017,Solid Achievement
KZRSSF,UNICEF,2018,Solid Achievement
KZRPSF,UNDP,2018,Successful PLUS performance
KZRPXZ,UNDP,2017,Successful performance
KZRASD,UNICEF,2017,Solid Achievement
KZRASD,UNICEF,2018,Solid Achievement
KZRAFF,UNICEF,2017,Solid Achievement
KZRFXD,UNICEF,2018,Outstanding Achievement
KZROKR,UNICEF,2016,Solid Achievement
KZRXDF,UNICEF,2018,Solid Achievement
KZRXRX,UNICEF,2017,Solid Achievement
KZRXRX,UNICEF,2018,Solid Achievement
KZASPR,UNICEF,2017,Solid Achievement
KZASPR,UNICEF,2018,Solid Achievement
KZAPFK,UNICEF,2018,Solid Achievement
KZADZP,UNICEF,2017,Outstanding Achievement
KZADSO,UNICEF,2017,Solid Achievement
KZAFRR,UNICEF,2018,Solid Achievement
KZAFFA,UNICEF,2017,Solid Achievement
KZAFFA,UNICEF,2018,Solid Achievement
KZAFXS,UNICEF,2018,Outstanding Achievement
KZAKR,UNICEF,2016,Outstanding Achievement
KZAXSP,UNICEF,2017,Outstanding Achievement
KZFZPZ,UNICEF,2017,Solid Achievement
KZFZPZ,UNICEF,2018,Solid Achievement
KZFZFK,UNICEF,2017,Solid Achievement
KZFZFK,UNICEF,2018,Solid Achievement
KZFPAA,UNICEF,2016,Solid Achievement
KZFDDS,UNICEF,2016,Solid Achievement
KZFRRA,UNICEF,2017,Solid Achievement
KZFRRA,UNICEF,2018,Solid Achievement
KZFRXD,UNICEF,2017,Solid Achievement
KZFRXD,UNICEF,2018,Solid Achievement
KZFFDR,UNICEF,2016,Solid Achievement
KZFKDZ,UNICEF,2017,Outstanding Achievement
KZFKDZ,UNICEF,2018,Outstanding Achievement
KZKZFP,UNICEF,2016,Solid Achievement
KZKPZA,UNICEF,2017,Solid Achievement
KZKPSX,UNDP,2018,Successful PLUS performance
KZKDZP,UNICEF,2016,Solid Achievement
KZKRFZ,UNICEF,2016,Solid Achievement
KPZZZPSS,UNICEF,2018,Solid Achievement
KPZZZPSF,UNICEF,2018,Solid Achievement
KPZZZPSX,UNICEF,2018,Outstanding Achievement
KPZZZPPZ,UNICEF,2018,Solid Achievement
KPZZZPPR,UNICEF,2018,Solid Achievement
KPZZZPDS,UNICEF,2018,Solid Achievement
KPZZZPDK,UNICEF,2018,Solid Achievement
KPZZZPDO,UNICEF,2018,Solid Achievement
KPZZZPRZ,UNICEF,2018,Solid Achievement
KPZZZPAS,UNICEF,2018,Solid Achievement
KPZZZPAD,UNICEF,2018,Solid Achievement
KPZZZPAO,UNICEF,2018,Solid Achievement
KPZZZPFS,UNICEF,2018,Solid Achievement
KPZZZPFD,UNICEF,2018,Solid Achievement
KPZZZPFK,UNICEF,2018,Solid Achievement
KPZZZPFO,UNICEF,2018,Solid Achievement
KPZZZPKR,UNICEF,2018,Solid Achievement
KPZZZPKA,UNICEF,2018,Solid Achievement
KPZZZPOP,UNICEF,2018,Solid Achievement
KPZZZPOX,UNICEF,2018,Solid Achievement
KPZZZPXK,UNICEF,2018,Outstanding Achievement
KPZZZDZZ,UNICEF,2018,Solid Achievement
KPZZZDZX,UNICEF,2018,Solid Achievement
KPZZZDSS,UNICEF,2018,Solid Achievement
KPZZZDSR,UNICEF,2018,Solid Achievement
KPZZZDSA,UNICEF,2018,Solid Achievement
KPZZZDSF,UNICEF,2018,Solid Achievement
KPZZZDPP,UNICEF,2018,Solid Achievement
KPZZZDPX,UNICEF,2018,Solid Achievement
KPZZZDDR,UNICEF,2018,Solid Achievement
KPZZZDDA,UNICEF,2018,Solid Achievement
KPZZZDDF,UNICEF,2018,Outstanding Achievement
KPZZZDDO,UNICEF,2018,Solid Achievement
KPZZZDRX,UNICEF,2018,Solid Achievement
KPZZZDAS,UNICEF,2018,Solid Achievement
KPZZZDAR,UNICEF,2018,Solid Achievement
KPZZZDAO,UNICEF,2018,Solid Achievement
KPZZZDFS,UNICEF,2018,Solid Achievement
KPZZZDFR,UNICEF,2018,Solid Achievement
KPZZZDFA,UNICEF,2018,Solid Achievement
KPZZZDFF,UNICEF,2018,Solid Achievement
KPZZZDFO,UNICEF,2018,Solid Achievement
KPZZZDKX,UNICEF,2018,Solid Achievement
KPZZZDOK,UNICEF,2018,Solid Achievement
