Post No,Index No,Organization,Requisition No,Position Grade,No of Applications Submitted,Internal / External,Post title,Vacancy Year
SSZODFKO,KSZZDPKK,UNDP,20567,A9,21,External,Responsable Expérimentation,2019
SSZODFKK,KSZZDPKF,UNDP,20569,A9,15,External,Responsable Ethnographie,2019
SSZODFFS,KSZZDRSA,UNDP,20722,A9,175,External,Head of Experimentation,2019
SSZODFFZ,KSZZDDDP,UNDP,20724,A9,121,External,Head of Solutions Mapping,2019
SSZODFFX,KSZZDRSF,UNDP,20723,A9,136,External,Head of Exploration,2019
SSZODFFR,KSZZPXFX,UNDP,21383,A10,122,External,Exploration Lead & Head of Lab,2019
SSZODFFD,KSZZPOSO,UNDP,21376,A9,185,External,Head of Experimentation,2019
SSZODFFP,KSZZDSZR,UNDP,21375,A9,157,External,Head of Solutions Mapping,2019
SSZODFAF,KSZZPXZS,UNDP,20757,A9,41,External,Head of Exploration,2019
SSZODFAD,KSZZDXDR,UNDP,21411,A9,72,External,Head of Exploration( Rwandese Nationals only),2019
SSZODFAD,KSZZDXDR,UNDP,23670,A9,47,External,Head of Exploration( Rwandese Nationals only),2019
SSZODPDO,Z,UNDP,23576,A7,33,,Executive Associate,2019
SSZODPDD,DFDSAS,UNDP,20977,A14,138,Internal,Programme Specialist,2019
SSZODPDP,FOOFZZ,UNDP,21116,A15,111,Internal,Programme Manager,2019
SSZODPPZ,KSZZSSFO,UNDP,21118,A13,145,Internal,Communications and Events Coordination Analyst,2019
SSZODPPX,XPRSXR,UNDP,21113,A14,94,Internal,M&E and Programming Specialist,2019
SSZOPSZA,Z,UNDP,20809,A6,152,,Administrative Associate GS6-FTA (For Cameroonian candidates),2019
SSZOPSXO,KSZZPRRA,UNDP,21450,A13,24,External,Publication Production Analyst, Independent Evaluation Office,2019
SSZOPSXK,KSZZDFRA,UNDP,20875,A9,103,External,Chargé de coordination du développement -gestion des données du suivi et communication de rapports sur les résultats,2019
SSZOPSOS,KSZZDROA,UNDP,21067,A14,135,External,Monitoring & Evaluation Specialist - Rule of Law Programme,2019
SSZOPSKS,Z,UNDP,20903,A9,38,,Data Management and Results Monitoring/Reporting Specialist,2019
SSZOPSKS,Z,UNDP,23115,A9,33,,Data Management and Results Monitoring/Reporting Specialist,2019
SSZOPSKR,Z,UNDP,20905,A10,53,,Programme Communications and Advocacy Officer,2019
SSZOPSKD,Z,UNDP,20904,A10,31,,Partnerships and Development Finance Officer,2019
SSZOPSDO,XSOZSF,UNDP,21396,A9,32,External,Responsable de l'Exploration,2019
SSZOPSDK,KSZZDRZZ,UNDP,21394,A9,18,External,Responsable de l'Ethnographie,2019
SSZOPSDF,KSZZDRZS,UNDP,21397,A9,33,External,Responsable de l'Expérimentation,2019
SSZOPZZF,KSZZDPXF,UNDP,21101,A10,9,External,National Stress Counselor ( Sana'a),2019
SSZOPZZF,KSZZDPXF,UNDP,23007,A10,15,External,National Stress Counselor ( Sana'a),2019
SSZOPZZP,Z,UNDP,20960,A10,111,,DevCoorOfficer-Data,Res&Report,2019
SSZOPZXS,KSZZDOAR,UNDP,20957,A10,82,External,DevCoordOfficer-Economist,2019
SSZOPZXZ,KSZZDSAD,UNDP,20985,A9,88,External,Head of Exploration (R735 681- R918 862 all-inclusive g.p.a),2019
SSZOPZXK,KSZZDSAP,UNDP,20948,A9,78,External,Head of Experimentation NOB (R735 681- R918 862 all-inclusive gross per annum),2019
SSZOPZXF,KSZZDSAS,UNDP,20953,A9,75,External,Head of Solutions Mapping NOB (R735 681- R918 862 all-inclusive g.p.a),2019
SSZOPZKS,KSZZPRPO,UNDP,21025,A6,22,External,Executive Associate,2019
SSZOPZKZ,KSZZPROK,UNDP,21024,A14,17,External,Driver,2019
SSZOPZAP,KSZZDSPD,UNDP,21097,A9,61,External,Head of Solutions Mapping,2019
SSZOPZRS,KSZZDSPZ,UNDP,21078,A8,136,External,Experimentation Analyst,2019
SSZOPZRZ,KSZZDZXK,UNDP,21096,A8,118,External,Exploration Analyst,2019
SSZOPZRX,KSZZDRFR,UNDP,20987,A9,29,External,Responsable de l'Exploration,2019
SSZOPZRX,KSZZDRFR,UNDP,26956,A9,32,External,Responsable de l'Exploration,2019
SSZOPZRO,KSZZDRFK,UNDP,20995,A9,16,External,Responsable de l’Expérimentation,2019
SSZOPZRK,KSZZDFZP,UNDP,20991,A9,6,External,Responsable de l’Ethnographie,2019
SSZOPZRK,KSZZDFZP,UNDP,24673,A9,11,External,Head of Solutions Mapping (re-advertisement),2019
SSZOPXSR,SZZDFSDO,UNDP,21176,A15,129,External,Programme Coordinator for Spotlight Initiative,2019
SSZOPXSD,KSZZPKAS,UNDP,21426,A6,135,External,Executive Assistant,2019
SSZOPXSP,KSZZPKZD,UNDP,21281,A13,114,External,Driver,2019
SSZOPXZS,KSZZDZPF,UNDP,21479,A13,90,External,Gender Analyst - Knowledge Management and Communication,2019
SSZOPXZZ,KSZZPRRZ,UNDP,21477,A15,63,External,Gender Specialist and Programme Coordinator,2019
SSZOPXZF,Z,UNDP,21033,A6,37,,Executive Associate (to RR),2019
SSZOPXXD,Z,UNDP,21127,A10,59,,Development Coordination Officer,Programme Communications  and Advocacy,2019
SSZOPXXP,KSZZDADZ,UNDP,20986,A9,55,External,Responsable de l'exploration et chargé(e) de la communication du Laboratoire d'accélération,2019
SSZOPXOS,KSZZDASA,UNDP,21045,A10,50,External,Responsable de l'Expérimentation et chargé(e) de la coordination du Laboratoire,2019
SSZOPDKX,Z,UNDP,21586,A10,224,,Development Coordination Officer, Data Management and Results Monitoring/Reporting,2019
SSZOPDKO,Z,UNDP,21637,A6,74,,Radio Room Supervisor/Radio Communications Associate with UNDSS ( Sana'a),2019
SSZOPDKK,Z,UNDP,21640,A14,66,,Identification Operator with UNDSS,2019
SSZOPDKA,XKDPRA,UNDP,21400,A9,158,External,Head of Exploration,2019
SSZOPDKR,KSZZDZXO,UNDP,21401,A9,180,External,Head of Experimentation,2019
SSZOPDKD,Z,UNDP,21406,A16,71,,Administrative Assistant OCHA,2019
SSZOPDKD,Z,UNDP,25023,A16,73,,Administrative Assistant OCHA,2019
SSZOPDFS,FRKPFK,UNDP,22089,A15,15,Internal,LOOS Specialist,2019
SSZOPDFK,OKFRRZ,UNDP,21648,A15,65,Internal,Judicial Expert,2019
SSZOPDPF,KSZZPFDF,UNDP,21831,A14,207,External,Project Manager,2019
SSZOPDPA,Z,UNDP,21644,A15,38,,Joint Programme Coordinator Energy/FONAREDD,2019
SSZOPDPA,Z,UNDP,24218,A15,34,,Joint Programme Coordinator Energy/FONAREDD,2019
SSZOPPSX,Z,UNDP,21715,A8,24,,Innovation Officer,2019
SSZOPPSO,KSZZPRDF,UNDP,21717,A9,19,External,Programme Manager,2019
SSZOPPKR,KSZZDSZZ,UNDP,21592,A11,25,External,Head of Office Global Pulse,2019
SSZOPPFS,Z,UNDP,21491,A6,25,,Associé(e) Exécutif(ve) du Représentant Résident,2019
SSZOPPAF,Z,UNDP,21792,A9,39,,Data Management Analyst & Results Monitoring Reporting - Chargé(e) de la coordination du développement, gestion des données et Suivi et Communication de rapports sur les résultats (FTA-NOB),2019
SSZOPPRZ,KSZZDDKS,UNDP,21509,A16,125,External,Executive Associate to the RR,2019
SSZOPPRZ,KSZZDDKS,UNDP,23870,A16,99,External,Executive Assistant (Open only to Cameroonians),2019
SSZOPPRF,KSZZDPXS,UNDP,21511,A6,42,External,Local Security Assistant - BUEA,2019
SSZOPPPS,SFXSRZ,UNDP,21901,A15,163,Internal,Programme Specialist, BTCA (Asia and Member Services),2019
SSZKSSSS,KSZZPRDO,UNDP,21719,A8,26,External,Programme Analyst on SDG Financing,2019
SSZKSSKO,KSZZPAFS,UNDP,22218,A16,38,External,Programme Assistant,2019
SSZKSSKF,KSZZPDXO,UNDP,21680,A16,44,External,Chief Technical Advisor,2019
SSZKSSKA,Z,UNDP,21803,A6,58,,Communications Associate,2019
SSZKSSKA,Z,UNDP,23611,A6,41,,Communications Associate,2019
SSZKSSKA,Z,UNDP,24443,A6,83,,Communications Associate,2019
SSZKSSAS,XPRFOD,UNDP,21576,A10,26,Internal,Operations Manager,2019
SSZKSSDX,FZSFXS,UNDP,21590,A6,156,Internal,Executive Assistant, Myanmar National Only_ (USD16,290 ~ 19,970 net per annum),2019
SSZKSZOZ,Z,UNDP,21623,A14,28,,Driver to the Head of Office,2019
SSZKSZKP,KSZZDAFS,UNDP,22220,A10,39,External,Energy Programme Specialist/Spécialiste de programme énergétique,2019
SSZKSZKP,KSZZDAFS,UNDP,23347,A10,15,External,Specialiste au Programme Energie,2019
SSZKSZFR,Z,UNDP,21664,A15,122,,Joint Programme Coordinator SI,2019
SSZKSZFP,KSZZPPFD,UNDP,21641,A13,41,External,Driver,2019
SSZKSZAZ,KSZZDKPO,UNDP,21645,A8,19,External,Communications Analyst,2019
SSZKSZAZ,KSZZDKPO,UNDP,24082,A8,34,External,Communications Analyst,2019
SSZKSZDD,RSOAKZ,UNDP,21696,A16,22,Internal,TA Executive Assistant(RR/DRR),2019
SSZKSZDD,RSOAKZ,UNDP,26827,A16,17,Internal,TA Executive Assistant(RR/DRR),2019
SSZKSZDP,KSZZPZXS,UNDP,21690,A13,14,External,TA Driver,2019
SSZKSZPR,Z,UNDP,21964,A6,34,,Radio Room Supervisor/Radio Communications Associate with UNDSS (Aden),2019
SSZKSZPP,KSZZDPAA,UNDP,22199,A15,66,External,Programme Manager,2019
SSZKSXSS,Z,UNDP,26774,A14,99,,Programme Coordinator, Inclusive and Equitable Local Development,2019
SSZKSXSX,Z,UNDP,22601,A14,118,,Knowledge Mgmt & M&E Specialist,2019
SSZKSXSK,KSZZPRDR,UNDP,22405,A13,115,External,Finance Analyst,2019
SSZKSXSF,OPKFXP,UNDP,22407,A14,66,Internal,Programme Specialist, Health and Non Communicable Diseases (NCDs),2019
SSZKSXKS,FZKKDD,UNDP,21689,A9,32,Internal,Programme Analyst, UNV,2019
SSZKZKOO,KRRFRR,UNDP,22890,A15,116,Internal,Africa Accelerator Lab Network Specialist,2019
SSZKZKOK,OOAAKP,UNDP,22865,A15,36,Internal,Innovative Finance and Accelerator Lab Partnerships Development Specialist,2019
SSZKZKOA,Z,UNDP,22464,A11,40,,Development Coordination Officer, Strategic Planning and Resident Coordinator Office Team Leader,2019
SSZKZKOA,Z,UNDP,26226,A11,36,,Development Coordination Officer, Strategic Planning and Resident Coordinator Office Team Leader-Local nationals only,2019
SSZKZKOR,KSZZPKAZ,UNDP,22600,A6,34,External,Executive Associate,2019
SSZKZFSK,KSZZPAOO,UNDP,22586,A6,13,External,Administrative Associate,2019
SSZKZFXP,KSZZPFKA,UNDP,22550,A6,84,External,Executive Associate to the UN Resident Coordinator,2019
SSZKZFOS,KSZZPKSA,UNDP,22547,A14,45,External,Driver to the UN Resident Coordinator,2019
SSZKZFOF,Z,UNDP,22552,A6,274,,Programme Associate,2019
SSZKZFKD,Z,UNDP,23890,A15,115,,Conseiller (e) Technique Principal(e) en Entrepreneuriat,2019
SSZKZFFS,OFXXDR,UNDP,22767,A16,94,Internal,Head of Sub-Office, Hodeida,2019
SSZKZFFX,Z,UNDP,22804,A15,55,,Project Manager, Hodeida Ports Support Project,2019
SSZKZFFK,KSZZDODR,UNDP,22831,A14,75,External,Project Manager (EU Support to Waste management),2019
SSZKZFFF,Z,UNDP,22690,A15,37,,Chief Technical  Specialist SF,2019
SSZKZFAX,Z,UNDP,22557,A8,60,,Chargé(e) de la Coordination du Développement, Partenariat et Financement du Développement - BCR (FTA-NOA),2019
SSZKZFDX,KSZZDKAO,UNDP,22597,A10,102,External,Economics Specialist (Open to Somali Nationals Only),2019
SSZKZFDO,KSZZDKAD,UNDP,22599,A10,62,External,Communications Specialist,2019
SSZKZFDK,KSZZDAZK,UNDP,22572,A6,18,External,Associé(é) Exécutif(ve) CR SNU,2019
SSZKZASD,Z,UNDP,22589, ,117,,ICT Officer,2019
SSZKZAFZ,OKDSX,UNDP,23087,A14,130,Internal,Coord & Reporting Specialist,2019
SSZKZAFX,SZZZOSRS,UNDP,23081,A14,106,External,Coord & Reporting Specialist (Only for International),2019
SSZKZAPK,Z,UNDP,22836,A15,5,,Human Resources Manager - Employee Experience,2019
SSZKZAPK,Z,UNDP,22871,A15,10,,Human Resources Manager - Employee Experience,2019
SSZKZAPK,Z,UNDP,23536,A15,58,,Human Resources Manager – Career Development and Employee Experience,2019
SSZKZAPK,Z,UNDP,25744,A13,158,,Learning Analyst,2019
SSZKZAPF,DPORFZ,UNDP,22837,A12,23,External,Talent Management Analyst - Employee Experience,2019
SSZKZAPF,DPORFZ,UNDP,23535,A12,96,External,Career Development and Employee Experience Analyst,2019
SSZKZAPA,KSZZPKRZ,UNDP,22860,A12,11,External,Talent Management Analyst - Capability Development,2019
SSZKZAPA,KSZZPKRZ,UNDP,23534,A12,58,External,Capability Development Analyst,2019
SSZKZAPR,RXXXXS,UNDP,22872,A6,7,Internal,Talent Management Associate, Employee Experience,2019
SSZKZAPR,RXXXXS,UNDP,23497,A6,35,Internal,Career Development and Employee Experience Associate,2019
SSZKZAPD,PPOXAP,UNDP,22875,A6,7,Internal,Learning Associate, Leadership and People Management Development,2019
SSZKZAPD,PPOXAP,UNDP,23498,A6,47,Internal,Leadership and People Management Development Associate,2019
SSZKZRSF,Z,UNDP,22632,A9,46,,ICT Analyst (Head of ICT),2019
SSZKZRKZ,DZPXRA,UNDP,22943,A7,24,Internal,Operations Associate, Talent Acquisition & Management,2019
SSZKZRAO,OPKPAA,UNDP,23106,A16,46,Internal,Executive Assistant,2019
SSZKZRAF,XOXRZP,UNDP,23294,A15,26,Internal,Mine Action Operations Coordinator,2019
SSZKZRAA,KSZZDRPS,UNDP,22919,A14,57,External,Information Management Specialist,2019
SSZKZRAD,Z,UNDP,22833,A15,120,,Program Coordinator (Spotlight Initiative),2019
SSZKZRRS,FRDXOF,UNDP,22874,A14,142,Internal,Project Manager - Integrated Policy Support, 2030 Agenda,2019
SSZKZRRZ,DFAOZA,UNDP,23269,A14,60,Internal,Outreach and Partnerships Specialist,2019
SSZKZRRX,Z,UNDP,22675,A6,13,,Executive Associate,2019
SSZKXAPK,Z,UNDP,23301,A10,52,,Development Coordination Officer -  Programme Communications and Advocacy,2019
SSZKXAPR,KSZZRSZX,UNDP,23302,A11,67,External,Development Coordination Officer - Economist,2019
SSZKXROR,SXXZF,UNDP,24411,A7,14,Internal,Learning Experience Senior Associate,2019
SSZKXRKF,XKZF,UNDP,23597,A16,19,Internal,Advisor - Strategic Engagement,2019
SSZKXRKR,FSFPXS,UNDP,23591,A16,58,Internal,Conflict Prevention and Resilience Advisor,2019
SSZKXRKD,Z,UNDP,23517,A14,140,,Procurement and Supply Chain Management Specialist,2019
SSZKXRKD,Z,UNDP,24951,A14,116,,Re-advertisement - Procurement and Supply Chain Management Specialist,2019
SSZKXRFS,OKZKZX,UNDP,23427,A14,36,External,Gender Specialist (Only for international),2019
SSZKXRFZ,Z,UNDP,23335,A13,483,,Roster for Drivers' positions,2019
SSZKXRDX,KSZZDSOS,UNDP,23398,A6,19,External,Executive Associate to Resident Representative and Deputy Resident Representative,2019
SSZKXDFK,KZPRZS,UNDP,23469,A7,41,Internal,ICT Associate,2019
SSZKXDDS,Z,UNDP,23404,A6,39,,Associé(e) aux achats,2019
SSZKXPSD,Z,UNDP,23646,A14,166,,Monitoring & Reporting Special,2019
SSZKXPSP,Z,UNDP,23582,A14,117,,Roving Field Coordinator Speci,2019
SSZKXPZS,Z,UNDP,23579,A14,18,,Mine Action Specialist,2019
SSZKXPZS,Z,UNDP,23959,A14,15,,Mine Action Specialist (Re-advertised),2019
SSZKXPZZ,Z,UNDP,24152,A17,13,,Senior Advisor, Project Catalyst,2019
SSZKXPZF,Z,UNDP,23663,A10,139,,Monitoring Specialist (TFMU),2019
SSZKXPZA,Z,UNDP,24439,A14,70,,Procurement Specialist,2019
SSZKXPZR,KDZOOS,UNDP,23565,A15,32,Internal,Technical Specialist, Research and Survey Analysis - PTIB Project,2019
SSZKXPXX,Z,UNDP,23831,A14,59,,Portfolio Manager,2019
SSZKXPXX,Z,UNDP,27199,A14,98,,Portfolio Manager (republication),2019
SSZKXPXO,SFFZZA,UNDP,23620,A14,111,Internal,Portfolio Operations Specialist,2019
SSZKOSOK,Z,UNDP,23522,A11,36,,Chargé(e) de la Coordination du Développement / Economiste (BCR - FTA - NOD),2019
SSZKOSOK,Z,UNDP,27180,A11,7,,Chargé(e) de la Coordination du Développement / Economiste (BCR - FTA - NOD),2019
SSZKOSOK,Z,UNDP,27396,A11,32,,Chargé(e) de la Coordination du Développement / Economiste (BCR - FTA - NOD),2019
SSZKOSAD,RFPZZK,UNDP,24288,A15,58,Internal,Investment Advisor – Joint SDG Fund,2019
SSZKOSRX,Z,UNDP,23735,A15,136,,Operations Manager - Stabilization Service Centre (SSC),2019
SSZKOSRX,Z,UNDP,23822,A15,183,,Operations Manager - Stabilisation Service Centre (SSC),2019
SSZKOSRX,Z,UNDP,26036,A15,45,,Service Centre Manager,2019
SSZKOSRX,Z,UNDP,28100,A15,68,,Service Centre Manager,2020
SSZKOSRO,Z,UNDP,23734,A16,43,,Head of Stabilization,2019
SSZKOSRO,Z,UNDP,23821,A16,84,,Head of Stabilization,2019
SSZKOSRO,Z,UNDP,28242,A16,16,,Head of Stabilization,2020
SSZKOSRK,RKOPF,UNDP,23625,A16,4,Internal,Economics Advisor,2019
SSZKOSDS,DZDXSS,UNDP,24561,A15,31,Internal,Chief Technical Advisor,2019
SSZKOZSD,RAXFSO,UNDP,23599,A10,20,Internal,Development Coord.Officer, Programme Communications and Advocacy,2019
SSZKOZFR,KSZZDPRR,UNDP,23586,A7,30,External,Guesthouse Manager - Aden,2019
SSZKOZRR,Z,UNDP,23588,A8,28,,Operations Manager,2019
SSZKOZRR,Z,UNDP,25833,A9,43,,Operations Manager,2019
SSZKOZRP,Z,UNDP,23590,A8,26,,Operations Manager,2019
SSZKOZRP,Z,UNDP,25838,A9,41,,Operations Manager,2019
SSZKOXSR,Z,UNDP,23909,A14,31,,Project Advisor TIWB,2019
SSZKOXZS,Z,UNDP,23664,A15,147,,Operations Manager,2019
SSZKOXZX,Z,UNDP,23667,A15,143,,Programme Management Specialist,2019
SSZKOXZR,Z,UNDP,23837,A16,175,,Partnership and Policy Advisor, Crisis and Fragility Policy and Engagement Team,2019
SSZKOOPD,KSZZDKPF,UNDP,23634,A7,55,External,Finance Associate,2019
SSZKOOPD,KSZZDKPF,UNDP,24898,A7,50,External,Finance Associate (Re-advertised),2019
SSZKOKZF,Z,UNDP,23652,A6,18,,Evaluation and Programme Development Associate,2019
SSZKFXPA,Z,UNDP,25864,A6,13,,Operations Associate, National Volunteer Recruitment,2019
SSZKFXPA,Z,UNDP,26789,A6,41,,Operations Associate, National Volunteer Recruitment,2019
SSZKFOOA,XAPDDS,UNDP,24870,A15,113,Internal,Project Manager,2019
SSZKFOKZ,Z,UNDP,24994,A14,74,,Gender & Social Inclusion Specialist,2019
SSZKFOKP,KSZZDFKZ,UNDP,24695,A9,58,External,UN HUB Operations Coordinator,2019
SSZKFORA,Z,UNDP,25310,A14,80,,Technical Specialist – Renewable Energy and Livelihood,2019
ZSAPP,KPZZZOOZ,UNICEF,512386,A10,59,External,Communication Specialist,2018
ZSRSSZ,RDZKFF,UNICEF,514183,A16,26,Internal,Senior Adviser,2018
ZSRSXA,XDXRFZ,UNICEF,515620,A15,172,External,Gender Programme Specialist,2018
ZSRSXR,FSPOKP,UNICEF,514691,A15,104,External,Education Specialist,2018
ZSRSXR,KRFDAK,UNICEF,517425,A15,115,Internal,Education Specialist,2018
ZSRSXP,KPZZSFAA,UNICEF,516825,A15,67,External,Nutrition Manager,2018
ZSRSOS,FAADKF,UNICEF,515083,A10,38,External,Nutrition Specialist,2018
ZSRSOZ,PAORRD,UNICEF,515082,A10,15,Internal,Nutrition Specialist,2018
ZSRSOX,KARFRA,UNICEF,514578,A9,101,External,Supply & Logistics Officer,2018
ZSRSOO,PAPAAA,UNICEF,515703,A9,69,Internal,Communication for Development Officer,2018
ZSRSOO,KPZZPFRS,UNICEF,521589,A9,125,External,Communication for Development Officer,2019
ZSRSOK,XFAPOP,UNICEF,514624,A15,108,Internal,Chief,2018
ZSRSOF,AOOOK,UNICEF,514577,A14,233,Internal,Planning & Monitoring Specialist,2018
ZSRSOA,KPZZZOZZ,UNICEF,518598,A10,174,External,Planning & Monitoring Specialist,2019
ZSRSOD,DDFRFX,UNICEF,524117,A15,64,Internal,Chief Social Policy,2019
ZSRSOP,KPZZPDXD,UNICEF,518313,A10,74,External,Social Policy Specialist,2018
ZSRSKS,XPRFAR,UNICEF,515808,A14,169,External,Contracts Specialist,2018
ZSRSKZ,OASZRR,UNICEF,515183,A9,94,External,Communication for Development Officer,2018
ZSRSKX,KPZZSFZK,UNICEF,515183,A9,94,External,Communication for Development Officer,2018
ZSRSKO,KPZZPOAP,UNICEF,518621,A9,73,External,Communication for Development Officer,2019
ZSRSKA,XFSZSS,UNICEF,515002,A13,11,Internal,Driver,2018
ZSRSKR,XKKXFK,UNICEF,515002,A13,11,Internal,Driver,2018
ZSRSKD,KKFXKO,UNICEF,515002,A13,11,External,Driver,2018
ZSRSKD,XFZPRZ,UNICEF,525446,A13,4,External,Driver,2019
ZSRSKP,KFRRF,UNICEF,515002,A13,11,External,Driver,2018
ZSRSKP,XFPKOK,UNICEF,525446,A13,4,External,Driver,2019
ZSRSFS,KZZZPS,UNICEF,515002,A13,11,External,Driver,2018
ZSRSFZ,FFZDPD,UNICEF,515183,A9,94,External,Communication for Development Officer,2018
ZSRSFX,KPZZSFSR,UNICEF,516232,A9,57,External,Social Mobilization & Develop. Officer,2018
ZSRSFO,XOAFXK,UNICEF,514632,A10,27,External,Social Mobilization & Devel. Specialist,2018
ZSRSFR,KPZZSXOS,UNICEF,516369,A14,127,External,Knowledge Management Specialist,2018
ZSRSFD,KXDFPR,UNICEF,515329,A14,199,Internal,Emergency Specialist,2018
ZSRSRS,KPZZPAZD,UNICEF,520902,A9,91,External,Social Policy Officer,2019
ZSRSRZ,KPZZPPRS,UNICEF,519579,A9,56,External,Child Protection Officer,2019
ZSRSDX,SDXDAK,UNICEF,516492,A15,154,Internal,Child Protection Specialist,2018
ZSRZSP,KPZZSFSZ,UNICEF,515285,A14,90,External,Maintenance Worker,2018
ZSRZZS,OPSZSS,UNICEF,515284,A9,1,Internal,Security Officer,2018
ZSRZZZ,XXOSOX,UNICEF,518298,A8,95,Internal,Child Protection Officer,2018
ZSRZZO,XXOKR,UNICEF,516784,A15,242,External,Security Manager,2018
ZSRZZA,PAXOSF,UNICEF,514365,A15,186,Internal,Customer Services Manager,2018
ZSRZZR,DPFFXP,UNICEF,514833,A9,2,Internal,Finance Officer,2018
ZSRZZD,PSSRAK,UNICEF,514532,A9,21,Internal,Finance Officer,2018
ZSDRZP,OSKXDK,UNICEF,520045,A15,91,Internal,Gender Programme Manager,2019
ZSDRXS,KPZZPDSO,UNICEF,519724,A10,54,External,Programme Specialist,2019
ZSDRXX,XRKSZF,UNICEF,520781,A6,82,Internal,Programme Associate,2019
ZSDRXO,KPZZPPOK,UNICEF,519723,A15,108,External,Programme Assistant,2019
ZSDRXK,ORSDXD,UNICEF,519974,A10,80,External,Construction Engineer,2019
ZSDRXF,KPZZPPKF,UNICEF,519938,A9,117,External,Monitoring Officer,2019
ZSDRXR,FKKPRR,UNICEF,521816,A9,59,External,Contracts Officer,2019
ZSDRXD,KPZZPRZX,UNICEF,520612,A9,63,External,Finance Officer,2019
ZSDRXP,KZPKFK,UNICEF,519332,A16,61,External,Human Resources Assistant,2019
ZSDROS,KPZZSKDX,UNICEF,516570,A8,40,External,Fund Raising Officer,2018
ZSDROF,KZAXPF,UNICEF,520610,A10,34,External,Child Protection Specialist,2019
ZSDROR,FXOKXO,UNICEF,520535,A9,67,Internal,Human Resources Officer,2019
ZSDROP,KPZZPRZS,UNICEF,520216,A16,47,External,Supply & Logistics Assistant,2019
ZSDRK,KPZZPZZZ,UNICEF,518225,A10,99,External,Communication for Development Specialist,2018
ZSDRKX,FRSZAP,UNICEF,520414,A8,32,Internal,Customer Service Officer,2019
ZSDRKK,KPZZPFPS,UNICEF,520416,A9,21,External,Finance Officer,2019
ZSDRKF,AASASO,UNICEF,520415,A9,34,Internal,Fund Raising Officer,2019
ZSDRKF,KPZZPPOX,UNICEF,520415,A9,34,Internal,Fund Raising Officer,2019
ZSDRKP,KPZZPFKS,UNICEF,520224,A16,101,External,Programme Assistant,2019
ZSDRFX,KPZZPFRX,UNICEF,520372,A6,28,External,Fund Raising Associate,2019
ZSDRFO,KPZZSZFO,UNICEF,520481,A6,46,External,Programme Associate,2019
ZSDRFK,KPZZZPRK,UNICEF,519473,A9,165,External,Early Childhood Development Officer,2019
ZSDRFF,KPZZZXKK,UNICEF,520481,A6,46,External,Programme Associate,2019
ZSDRFP,KPZZSXKF,UNICEF,518123,A13,24,External,Driver,2018
ZSDRAX,KZOSXX,UNICEF,519564,A9,697,External,Communication Officer,2019
ZSDRAF,SRZXAF,UNICEF,520861,A16,325,Internal,Chief Field Office,2019
ZSDRRX,XSXOKK,UNICEF,519237,A10,8,Internal,Health Specialist,2019
ZSDRRA,FXFSAS,UNICEF,520401,A15,327,Internal,Education Manager,2019
ZSDRRR,FXOFA,UNICEF,519301,A14,622,Internal,Education Specialist,2019
ZSDRRD,OSRFKS,UNICEF,519665,A10,270,External,Emergency Specialist,2019
ZSDRRP,FOKKDP,UNICEF,520402,A14,318,External,Health Specialist,2019
ZSDRDZ,DFPOAK,UNICEF,519292,A15,321,Internal,Operations Specialist,2019
ZSDRPS,RFZPAD,UNICEF,519339,A16,2421,Internal,Programme Assistant,2019
ZSDRPZ,RFDAPS,UNICEF,519295,A15,260,Internal,Nutrition Manager,2019
ZSDRPO,FAFKXS,UNICEF,520784,A6,2506,External,Administrative Associate,2019
ZSDDSS,SRSXAO,UNICEF,520400,A15,540,Internal,Communication Manager,2019
ZSDDSO,ADKADZ,UNICEF,520404,A15,261,Internal,WASH Manager,2019
ZSDDSR,KPZZPPXO,UNICEF,519428,A14,380,External,Operations Manager,2019
ZSDDSD,FDRSAS,UNICEF,519429,A15,182,Internal,Innovation Manager,2019
ZSDDZS,KPZZPFKF,UNICEF,519239,A9,705,External,Nutrition Officer,2019
ZSDDZR,KPZZZPDO,UNICEF,518613,A15,192,External,WASH Manager,2019
ZSDDZP,XFSSPS,UNICEF,518615,A15,165,External,Nutrition Manager,2019
ZSDDXK,KAZFPX,UNICEF,520363,A8,87,Internal,Officer,2019
ZSDDXD,SZZKZAPX,UNICEF,522466,A16,173,External,Administrative Assistant,2019
ZSDDOA,KORZKK,UNICEF,520875,A15,10,Internal,Partnerships Manager,2019
ZSDDKX,KARAAS,UNICEF,520881,A14,5,External,Partnerships Specialist,2019
ZSDDFS,KPZZZAKK,UNICEF,521196,A13,196,External,Child Protection Officer,2019
ZSDDFP,KPZZPSFO,UNICEF,519912,A6,377,External,Human Resources Associate,2019
ZSDDAK,PFAZRS,UNICEF,522194,A10,207,External,Chief Field Office,2019
ZSDDAA,FXKPOR,UNICEF,520992,A6,451,External,Operations Associate,2019
ZSDDAR,KPZZZDFR,UNICEF,519106,A10,212,External,Social Policy Specialist,2019
ZZSORK,KPZZPKFA,UNICEF,523427,A16,95,External,Procurement & Administrative Assistant,2019
ZZSODZ,KPZZPPRD,UNICEF,521240,A16,77,External,Supply Assistant,2019
ZZSOPK,FXOFRF,UNICEF,521838,A14,142,External,WASH Specialist,2019
ZZSKSO,OKZXFZ,UNICEF,517257,A17,8,Internal,Principal Adviser,2018
ZZSKXP,SZSZKAF,UNICEF,519529,A14,223,External,Security Specialist,2019
